,Компания,Чистая прибыль 2019,Чистая прибыль 2020,Чистая прибыль 2021,Капитализация 2019,Капитализация 2020,Капитализация 2021
504,MSFT,39200000000.0,44300000000.0,61300000000.0,1220000000000.0,1760000000000.0,2250000000000.0
505,MSI,868000000.0,949000000.0,1240000000.0,30000000000.0,28400000000.0,45800000000.0
506,MSM,289000000.0,251000000.0,217000000.0,4010000000.0,4550000000.0,4240000000.0
507,MTB,1930000000.0,1350000000.0,1860000000.0,23900000000.0,18700000000.0,23300000000.0
508,MTD,561000000.0,603000000.0,769000000.0,19100000000.0,27900000000.0,34100000000.0
509,MU,6310000000.0,2690000000.0,5860000000.0,48100000000.0,101000000000.0,98600000000.0
510,MXE,,,,,,
511,NCLH,930000000.0,-4010000000.0,-4510000000.0,11800000000.0,6480000000.0,7580000000.0
512,NCR,564000000.0,-79000000.0,97000000.0,4190000000.0000005,4460000000.0,5320000000.0
513,NCV,,,,,,
514,NCZ,,,,,,
515,NDAQ,774000000.0,933000000.0,1190000000.0,19100000000.0,64800000000.0,105000000000.0
516,NDSN,337000000.0,250000000.0,454000000.0,9530000000.0,11000000000.0,13100000000.0
517,NEE,3770000000.0,2920000000.0,3570000000.0,132000000000.0,154000000000.0,152000000000.0
518,NEM,2800000000.0,2830000000.0,1170000000.0,33100000000.0,41900000000.0,52400000000.0
519,NEU,254000000.0,271000000.0,191000000.0,5010000000.0,4040000000.0,3400000000.0
520,NFJ,,,,,,
521,NFLX,1870000000.0,2760000000.0,5120000000.0,152000000000.0,235000000000.0,189000000000.0
522,NI,383000000.0,-17600000.0,585000000.0,10900000000.0,8150000000.0,11400000000.0
523,NIE,,,,,,
524,NKE,4030000000.0000005,2540000000.0,5730000000.0,133000000000.0,153000000000.0,214000000000.0
525,NLY,-2160000000.0,-891000000.0,2390000000.0,14000000000.0,2630000000.0,2720000000.0
526,NML,,,,,,
527,NOC,2250000000.0,3190000000.0,7000000000.0,65200000000.0,47700000000.0,70600000000.0
528,NOV,-6100000000.0,-2540000000.0,-250000000.0,8029999999.999999,5250000000.0,5210000000.0
529,NOW,627000000.0,119000000.0,230000000.0,63700000000.0,105000000000.0,115000000000.0
530,NRG,4440000000.0,510000000.0,2190000000.0,9740000000.0,8580000000.0,9190000000.0
531,NRO,,,,,,
532,NSC,2720000000.0,2009999999.9999998,3000000000.0,55300000000.0,63000000000.0,63100000000.0
533,NTAP,1170000000.0,819000000.0,730000000.0,16100000000.000002,9870000000.0,19100000000.0
534,NTR,992000000.0,459000000.0,3180000000.0,25100000000.0,28600000000.0,42200000000.0
535,NTRS,1490000000.0,1210000000.0,1550000000.0,17400000000.0,19400000000.0,23700000000.0
536,NUE,1270000000.0,721000000.0,6830000000.0,14900000000.0,14700000000.0,38300000000.0
537,NVDA,4139999999.9999995,2800000000.0,4330000000.0,98200000000.0,162000000000.0,726000000000.0
538,NVR,879000000.0,901000000.0,1240000000.0,14400000000.0,15100000000.0,21200000000.0
539,NWL,107000000.0,-766000000.0,98000000.0,8470000000.000001,9650000000.0,10100000000.0
540,NWSA,,,,,,
541,NXPI,243000000.0,52000000.0,1870000000.0,37100000000.0,44500000000.0,55600000000.0
542,NYCB,395000000.0,511000000.0,596000000.0,5150000000.0,4400000000.0,5260000000.0
543,O,436000000.0,395000000.0,359000000.0,24900000000.0,19500000000.0,29200000000.0
544,OC,405000000.0,-383000000.0,995000000.0,6870000000.0,8260000000.0,9110000000.0
545,OGE,434000000.0,-174000000.0,737000000.0,9260000000.0,6110000000.0,7400000000.0
546,OHI,341000000.0,164000000.0,428000000.0,8960000000.0,7460000000.0,7120000000.0
547,OKE,1280000000.0,613000000.0,1500000000.0,31200000000.0,14700000000.0,25500000000.0
548,OMC,1340000000.0,945000000.0,1410000000.0,16700000000.0,14100000000.0,17800000000.0
549,ON,212000000.0,234000000.0,1010000000.0,9840000000.0,14200000000.0,25100000000.0
550,ORCL,11100000000.0,10100000000.0,13700000000.0,207000000000.0,177000000000.0,221000000000.0
551,ORI,1060000000.0,559000000.0,627000000.0,6880000000.0,4910000000.0,7900000000.0
552,ORLY,1390000000.0,1750000000.0,519000000.0,32299999999.999996,33400000000.0,48700000000.0
553,OTEX,286000000.0,234000000.0,311000000.0,11600000000.0,11900000000.0,12800000000.0
554,OXY,-667000000.0,-14800000000.0,2320000000.0,32900000000.0,24400000000.0,40900000000.0
555,PACW,469000000.0,-1240000000.0,607000000.0,4219999999.9999995,4179999999.9999995,5790000000.0
556,PAI,,,,,,
557,PANW,-81900000.0,-267000000.0,-499000000.0,19200000000.0,34400000000.0,53600000000.0
558,PARAA,,,,,,
559,PAYX,1030000000.0,1100000000.0,1100000000.0,29600000000.0,27200000000.0,42100000000.0
560,PBA,1490000000.0,-316000000.0,1240000000.0,21600000000.0,14800000000.0,16000000000.0
561,PCAR,2390000000.0,1300000000.0,1870000000.0,26400000000.0,46600000000.0,47900000000.0
562,PCG,-7640000000.0,411000000.0,-88000000.0,7870000000.0,6050000000.0,21800000000.0
563,PDT,,,,,,
564,PEAK,45500000.0,414000000.0,28800000.0,17800000000.0,14900000000.0,18700000000.0
565,PEG,1690000000.0,1900000000.0,-648000000.0,30200000000.0,28400000000.0,33299999999.999996
566,PEO,,,,,,
567,PEP,7310000000.0,7120000000.0,7620000000.0,199000000000.0,193000000000.0,225000000000.0
568,PFD,,,,,,
569,PFE,16300000000.0,9160000000.0,22000000000.0,196000000000.0,178000000000.0,261000000000.0
570,PFG,1390000000.0,1400000000.0,1710000000.0,15100000000.0,13200000000.0,19500000000.0
571,PFO,,,,,,
572,PG,3900000000.0,13000000000.0,14300000000.0,324000000000.0,333000000000.0,397000000000.0
573,PGR,3970000000.0,5700000000.0,3350000000.0,47700000000.0,47000000000.0,61000000000.0
574,PH,1510000000.0,1200000000.0,1750000000.0,23000000000.0,36200000000.0,38100000000.0
575,PHM,1020000000.0,1410000000.0,1950000000.0,12500000000.0,11900000000.0,12800000000.0
576,PII,324000000.0,125000000.0,494000000.0,5810000000.0,7100000000.0,7410000000.0
577,PKG,696000000.0,461000000.0,841000000.0,9430000000.0,12500000000.0,12700000000.0
578,PKI,228000000.0,,128000000.0,10800000000.0,,19200000000.0
579,PLD,1570000000.0,1480000000.0,2940000000.0,60700000000.0,73300000000.0,115000000000.0
580,PM,7180000000.0,8060000000.000001,9110000000.0,131000000000.0,123000000000.0,155000000000.0
581,PNC,5370000000.0,7560000000.0,5720000000.0,67500000000.0,59400000000.0,87300000000.0
582,PNR,356000000.0,359000000.0,553000000.0,7500000000.0,8930000000.0,10500000000.0
583,PNW,538000000.0,570000000.0,636000000.0,11100000000.0,8020000000.0,7670000000.0
584,PPG,1240000000.0,1060000000.0,1440000000.0,23700000000.0,31400000000.0,31600000000.0
585,PPL,1750000000.0,1470000000.0,-1480000000.0,26600000000.0,18700000000.0,19700000000.0
586,PRGO,146000000.0,-163000000.0,-68900000.0,7870000000.0,5330000000.0,4680000000.0
587,PRU,4190000000.0000005,-374000000.0,7720000000.0,37700000000.0,32400000000.0,42800000000.0
588,PSA,1520000000.0,1360000000.0,1950000000.0,39100000000.0,38300000000.0,62300000000.0
589,PSF,,,,,,
590,PSX,3080000000.0,-3980000000.0,1320000000.0,43500000000.0,28600000000.0,31200000000.0
591,PTC,-27500000.0,131000000.0,477000000.0,7870000000.0,15700000000.0,13000000000.0
592,PVH,746000000.0,417000000.0,-1140000000.0,8600000000.0,5370000000.0,6970000000.0
593,PWR,402000000.0,446000000.0,486000000.0,5820000000.0,9930000000.0,14500000000.0
594,PXD,-200000000.0,-200000000.0,2120000000.0,20700000000.0,18700000000.0,49100000000.0
595,PYPL,2460000000.0,4200000000.0,4170000000.0,137000000000.0,275000000000.0,221000000000.0
596,QCOM,4390000000.0,5200000000.0,9040000000.0,99600000000.0,152000000000.0,193000000000.0
597,QGEN,-41500000.0,359000000.0,513000000.0,7750000000.0,12300000000.0,11200000000.0
598,QQQX,,,,,,
599,QRVO,133000000.0,222000000.0,734000000.0,9610000000.0,10900000000.0,17800000000.0
600,QSR,643000000.0,750000000.0,1250000000.0,16600000000.000002,17300000000.0,17200000000.0
601,RACE,696000000.0,608000000.0,833000000.0,32200000000.000004,38900000000.0,47600000000.0
602,RAD,-422000000.0,-452000000.0,-90900000.0,660000000.0,778000000.0,491000000.0
603,RCI,2040000000.0,1590000000.0,1560000000.0,25700000000.0,23100000000.0,23700000000.0
604,RCL,1880000000.0,-5800000000.0,-5260000000.0,25100000000.0,16000000000.0,19400000000.0
605,RE,1010000000.0,514000000.0,1380000000.0,11300000000.0,9080000000.0,10600000000.0
606,REG,239000000.0,44900000.0,361000000.0,10400000000.0,,
607,REGN,2120000000.0,3510000000.0,8080000000.0,36700000000.0,52000000000.0,66800000000.0
608,RF,1580000000.0,1090000000.0,2520000000.0,15500000000.0,19000000000.0,22900000000.0
609,RFI,,,,,,
610,RGA,870000000.0,415000000.0,617000000.0,9200000000.0,7750000000.0,7470000000.0
611,RHI,454000000.0,306000000.0,599000000.0,7010000000.0,8600000000.0,13200000000.0
612,RIG,-1260000000.0,-567000000.0,-592000000.0,2900000000.0,2069999999.9999998,1910000000.0
613,RJF,1030000000.0,818000000.0,1400000000.0,12000000000.0,12800000000.0,20600000000.0
614,RL,431000000.0,384000000.0,-121000000.0,10800000000.0,5780000000.0,9630000000.0
615,RMD,405000000.0,622000000.0,475000000.0,18600000000.0,27600000000.0,35700000000.0
616,RMT,,,,,,
617,RNP,,,,,,
618,RNR,749000000.0,762000000.0,-40200000.0,8320000000.0,7720000000.0,7970000000.0
619,ROK,696000000.0,1020000000.0,1360000000.0,20400000000.0,27600000000.0,30700000000.0
620,ROL,203000000.0,267000000.0,357000000.0,12500000000.0,16100000000.000002,16000000000.0
621,ROP,1770000000.0,950000000.0,288000000.0,40500000000.0,40800000000.0,46000000000.0
622,ROST,,,,,,
623,RPM,267000000.0,304000000.0,503000000.0,7980000000.0,9890000000.0,10800000000.0
624,RQI,,,,,,
625,RRC,-1720000000.0,-712000000.0,412000000.0,746000000.0,2330000000.0,5570000000.0
626,RS,702000000.0,372000000.0,1420000000.0,7870000000.0,8359999999.999999,12100000000.0
627,RSG,1070000000.0000001,967000000.0,1290000000.0,30700000000.0,28900000000.0,44000000000.0
628,RVT,,,,,,
629,RY,12900000000.0,11400000000.0,16000000000.0,117000000000.0,117000000000.0,147000000000.0
630,SABR,159000000.0,-1280000000.0,-928000000.0,5980000000.0,3480000000.0,2760000000.0
631,SATS,-62900000.0,-40200000.0,62700000.0,3920000000.0,2049999999.9999998,2340000000.0
632,SBAC,147000000.0,24100000.0,238000000.0,28600000000.0,29700000000.0,33100000000.0
633,SBUX,3600000000.0,928000000.0,4200000000.0,104000000000.0,125000000000.0,107000000000.0
634,SCCO,1490000000.0,1580000000.0,3410000000.0,30100000000.0,46900000000.0,46200000000.0
635,SCD,,,,,,
636,SCHW,3700000000.0,3300000000.0,5860000000.0,61900000000.0,87100000000.0,159000000000.0
637,SCI,370000000.0,516000000.0,803000000.0,8800000000.0,8279999999.999999,10200000000.0
638,SEE,263000000.0,503000000.0,507000000.0,5660000000.0,6390000000.0,10100000000.0
639,SEIC,501000000.0,447000000.0,547000000.0,10200000000.0,8060000000.000001,8109999999.999999
640,SGEN,-159000000.0,614000000.0,-674000000.0,18200000000.0,26400000000.0,23500000000.0
641,SHW,1540000000.0,2029999999.9999998,1860000000.0,52200000000.0,60900000000.0,68900000000.0
642,SIG,-657000000.0,106000000.0,-15200000.0,1510000000.0,1170000000.0,4510000000.0
643,SIRI,914000000.0,131000000.0,1310000000.0,32400000000.0,25200000000.0,25000000000.0
644,SITC,101000000.0,35700000.0,125000000.0,2350000000.0,2140000000.0000002,3080000000.0
645,SIX,179000000.0,-423000000.0,,3200000000.0,2900000000.0,
646,SJM,514000000.0,780000000.0,876000000.0,13800000000.0,13000000000.0,14900000000.0
647,SLB,-10100000000.0,-10500000000.0,1880000000.0,47100000000.0,37800000000.0,54800000000.0
648,SLF,2940000000.0,2780000000.0,4370000000.0,28300000000.0,27400000000.0,29900000000.0
649,SLG,281000000.0,380000000.0,450000000.0,7990000000.0,4910000000.0,4540000000.0
650,SLM,578000000.0,881000000.0,306000000.0,4700000000.0,6020000000.0,6210000000.0
651,SMG,461000000.0,387000000.0,512000000.0,5470000000.0,10800000000.0,8860000000.0
652,SNA,694000000.0,,627000000.0,8960000000.0,,11200000000.0
653,SNPS,532000000.0,664000000.0,758000000.0,21100000000.0,38500000000.0,47300000000.0
654,SNV,564000000.0,374000000.0,760000000.0,5470000000.0,6000000000.0,7690000000.0
655,SO,4750000000.0,3500000000.0,2310000000.0,74600000000.0,62300000000.0,67900000000.00001
656,SON,292000000.0,207000000.0,-85500000.0,5830000000.0,5800000000.0,5800000000.0
657,SPG,2100000000.0,1280000000.0,574000000.0,42000000000.0,32900000000.0,44700000000.0
658,SPGI,2120000000.0,2530000000.0,3020000000.0,73600000000.0,76300000000.0,99500000000.0
659,SPLK,-276000000.0,-337000000.0,-908000000.0,19600000000.0,22400000000.0,18600000000.0
660,SPR,530000000.0,-870000000.0,-541000000.0,6740000000.0,3520000000.0,4570000000.0
661,SPXX,,,,,,
662,SQ,375000000.0,213000000.0,166000000.0,32299999999.999996,95700000000.0,56100000000.0
663,SRCL,-347000000.0,-55900000.0,-26800000.0,5860000000.0,5990000000.0,5390000000.0
664,SRE,2200000000.0,4099999999.9999995,1460000000.0,37800000000.0,32400000000.0,44600000000.0
665,SSNC,438000000.0,625000000.0,800000000.0,16300000000.0,16899999999.999998,19200000000.0
666,ST,283000000.0,164000000.0,364000000.0,7830000000.0,9020000000.0,9160000000.0
667,STK,,,,,,
668,STLD,671000000.0,571000000.0,3250000000.0,6690000000.0,7120000000.0,11400000000.0
669,STT,2240000000.0,2420000000.0,2690000000.0,28700000000.0,24900000000.0,29900000000.0
670,STX,2009999999.9999998,1000000000.0,1310000000.0,13600000000.0,18600000000.0,24900000000.0
671,STZ,3440000000.0,-11800000.0,2000000000.0,33400000000.0,24600000000.0,
672,SU,2900000000.0,-4320000000.0,4120000000.0,49300000000.0,26100000000.0,43200000000.0
673,SWK,956000000.0,1230000000.0,1230000000.0,21300000000.0,26700000000.0,25100000000.0
674,SWKS,854000000.0,815000000.0,1500000000.0,15700000000.0,23800000000.0,22800000000.0
675,SWZ,,,,,,
676,SYF,3750000000.0,1380000000.0,4219999999.9999995,19300000000.0,19800000000.0,25900000000.0
677,SYK,2080000000.0,1600000000.0,662000000.0,80000000000.0,90000000000.0,99000000000.0
678,SYY,1670000000.0,215000000.0,524000000.0,36600000000.0,27400000000.0,39300000000.0
679,T,13900000000.0,-5180000000.0,20100000000.0,274000000000.0,133000000000.0,134000000000.0
680,TAL,367000000.0,-110000000.0,-116000000.0,7220000000.0,10300000000.0,611000000.0
681,TAP,242000000.0,-949000000.0,1010000000.0,12200000000.0,9490000000.0,11200000000.0
682,TCOM,7010000000.0,-3250000000.0,-550000000.0,18800000000.0,19200000000.0,15900000000.0
683,TD,11700000000.0,11900000000.0,14300000000.0,106000000000.0,97100000000.0,144000000000.0
684,TDG,890000000.0,699000000.0,680000000.0,29900000000.0,33000000000.0,38900000000.0
685,TECK,-605000000.0,-864000000.0,2920000000.0,7550000000.0,9770000000.0,14900000000.0
686,TEF,,1580000000.0,10700000000.0,33900000000.0,21600000000.0,22900000000.0
687,TEL,1840000000.0,-241000000.0,2260000000.0,32000000000.0,42200000000.0,46500000000.0
688,TER,467000000.0,784000000.0,1010000000.0,11700000000.0,18800000000.0,19400000000.0
689,TFX,461000000.0,335000000.0,485000000.0,17600000000.0,18400000000.0,15700000000.0
690,TGNA,286000000.0,483000000.0,477000000.0,3690000000.0,3890000000.0,5030000000.0
691,TGT,2940000000.0,3280000000.0,4370000000.0,38700000000.0,56200000000.0,109000000000.0
692,THO,133000000.0,223000000.0,660000000.0,2470000000.0,4970000000.0,5640000000.0
693,THQ,,,,,,
694,TJX,3060000000.0,3270000000.0,90000000.0,64700000000.0,76300000000.0,79000000000.0
695,TMO,3700000000.0,6380000000.0,7730000000.0,128000000000.0,178000000000.0,214000000000.0
696,TMUS,3470000000.0,3060000000.0,3020000000.0,69100000000.0,154000000000.0,145000000000.0
697,TNL,507000000.0,-255000000.0,308000000.0,4670000000.0,3800000000.0,4780000000.0
698,TOL,590000000.0,447000000.0,374000000.0,5820000000.0,5460000000.0,8680000000.0
699,TPR,643000000.0,-652000000.0,834000000.0,8900000000.0,8359999999.999999,11100000000.0
700,TRGP,-209000000.0,-1550000000.0,71200000.0,8610000000.0,7060000000.0,14900000000.0
701,TRI,1560000000.0,1120000000.0,5690000000.0,40700000000.0,41000000000.0,49300000000.0
702,TRIP,126000000.0,-289000000.0,-148000000.0,3920000000.0,6690000000.0,3490000000.0
703,TRMB,,514000000.0,493000000.0,,10600000000.0,21900000000.0
704,TROW,2130000000.0,2370000000.0,3080000000.0,32100000000.0,33500000000.0,44600000000.0
705,TRP,4139999999.9999995,4620000000.0,1960000000.0,51400000000.0,40400000000.0,50600000000.0
706,TRV,2620000000.0,2700000000.0,3660000000.0,34900000000.0,33600000000.0,41100000000.0
707,TSCO,562000000.0,749000000.0,997000000.0,11300000000.0,16300000000.0,25100000000.0
708,TSLA,-862000000.0,690000000.0,5520000000.0,113000000000.0,763000000000.0,858000000000.0
709,TSN,2020000000.0,2060000000.0,3050000000.0,29800000000.0,,
710,TT,1410000000.0,855000000.0,1420000000.0,25600000000.0,36000000000.0,36500000000.0
711,TTC,274000000.0,330000000.0,410000000.0,8350000000.0,10700000000.0,9980000000.0
712,TU,1750000000.0,1210000000.0,1700000000.0,24300000000.0,24800000000.0,32299999999.999996
713,TWN,,,,,,
714,TXN,5020000000.0,5600000000.0,7770000000.0,116000000000.0,156000000000.0,157000000000.0
715,TXT,,815000000.0,309000000.0,,10300000000.0,15600000000.0
716,TY,,,,,,
717,TYG,,,,,,
718,UAA,,,,,,
719,UAL,3010000000.0,-7070000000.0,-1960000000.0,19500000000.0,11200000000.0,13800000000.0
720,UBS,4300000000.0,6560000000.0,7490000000.0,47400000000.0,51600000000.0,62700000000.0
721,UDR,185000000.0,64300000.0,150000000.0,13700000000.0,11700000000.0,16399999999.999998
722,UGI,256000000.0,532000000.0,1470000000.0,8560000000.000001,7100000000.0,9410000000.0
723,UHAL,371000000.0,442000000.0,611000000.0,7310000000.0,5490000000.0,11900000000.0
724,UHS,815000000.0,944000000.0,992000000.0,12500000000.0,11600000000.0,10700000000.0
725,ULTA,659000000.0,706000000.0,176000000.0,18700000000.0,15200000000.0,23200000000.0
726,UNH,13800000000.0,15400000000.0,17300000000.0,266000000000.0,327000000000.0,472000000000.0
727,UNM,1100000000.0,793000000.0,824000000.0,5760000000.0,4480000000.0,5120000000.0
728,UNP,5920000000.0,5350000000.0,6520000000.0,129000000000.0,137000000000.0,163000000000.0
729,UPS,4440000000.0,1340000000.0,12900000000.0,93300000000.0,130000000000.0,175000000000.0
730,URI,1170000000.0,890000000.0,481000000.0,10900000000.0,21600000000.0,23300000000.0
731,USA,,,,,,
732,USB,6910000000.0,4960000000.0,7960000000.0,81700000000.0,62100000000.0,85900000000.0
733,UTG,,,,,,
734,UTHR,-104000000.0,515000000.0,476000000.0,4219999999.9999995,7390000000.0,7460000000.0
735,V,12100000000.0,10900000000.0,12300000000.0,392000000000.0,,
736,VFC,1260000000.0,679000000.0,408000000.0,35600000000.0,23100000000.0,22200000000.0
737,VIPS,4019999999.9999995,5910000000.0,4690000000.0,1720000000.0,3660000000.0,1090000000.0
738,VLO,2420000000.0,-1420000000.0,930000000.0,36400000000.0,21200000000.0,29800000000.0
739,VMC,618000000.0,584000000.0,671000000.0,18800000000.0,19300000000.0,24900000000.0
740,VMW,2420000000.0,6410000000.0,2060000000.0,73800000000.0,50300000000.0,44200000000.0
741,VNO,3150000000.0,-297000000.0,176000000.0,12700000000.0,7710000000.0,8180000000.0
742,VOYA,-351000000.0,-206000000.0,2130000000.0,7690000000.0,6950000000.0,7880000000.0
743,VRSK,450000000.0,713000000.0,666000000.0,26900000000.0,33600000000.0,37000000000.0
744,VRSN,612000000.0,815000000.0,785000000.0,25300000000.0,24900000000.0,28400000000.0
745,VRTX,1180000000.0,2710000000.0,2340000000.0,59100000000.0,61400000000.0,56600000000.0
746,VTR,433000000.0,441000000.0,56600000.0,21200000000.0,16500000000.0,20100000000.0
747,VZ,19300000000.0,17800000000.0,22100000000.0,246000000000.0,214000000000.0,218000000000.0
748,WAB,327000000.0,414000000.0,558000000.0,13100000000.0,13700000000.0,17400000000.0
749,WAT,592000000.0,522000000.0,693000000.0,15500000000.0,16399999999.999998,19500000000.0
750,WBA,3980000000.0,-308000000.0,3580000000.0,51000000000.0,41300000000.0,39800000000.0
751,WCN,567000000.0,205000000.0,618000000.0,25800000000.0,25600000000.0,32500000000.0
